1: ☖P-7f
2: ☗P-3d
3: ☖Bx2b+
4: ☗K5a5b
5: ☖+B-3c
6: ☗G-4b
7: ☖+Bx4b
8: ☗K-6b
9: ☖G*7b
10: ☗Gx7b
11: ☖B*5a
12: ☗K-6a
13: ☖+B-5b
14: ☗Kx5b
15: ☖B3c+
16: ☗B*2b
17: ☖+Bx2b
18: ☗G*6d
19: ☖B*1d
20: ☗L-1b
21: ☖Bx2c+
22: ☗N-3c
23: ☖+B2cx3c
24: ☗K-4a
25: ☖+Bx4c
26: ☗P-7d
27: ☖+B2b3b
28: ☗K-5a
29: ☖+Bx5c
30: ☗S-4b
31: ☖+B3bx4b
32: ☗K-6a
33: ☖+B4b4c
34: ☗K-5a
35: ☖+B4c5b
